Nome: ITAJAI
Codigo Estacao: A868
Latitude: -26.95083333
Longitude: -48.76194444
Altitude: 9.76
Situacao: Operante
Data Inicial: 2010-06-23
Data Final: 2025-06-27
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-08-30;0;1020,1;15,9;22,8;17,9;14,7;88,5;66;6,1;,8;
2010-08-31;1,4;1019,1;18;25,1;20,1;17,3;88,1;63;8,8;1,9;
2010-09-01;1;1017,4;18,1;24,1;20,3;18,4;87,5;68;5,8;1,2;
2010-09-02;0;1017,7;17,9;25;19,9;17,9;89,1;70;6,9;1,9;
2010-09-03;0;1017;17,2;25,4;19,6;17,9;86,5;63;7;1,5;
2010-09-04;0;1011,5;17,4;28,9;20,4;17,9;83,8;56;9,9;1,4;
2010-09-05;0;1019,5;10,5;21,2;16,3;10,8;69,5;45;9,5;2,3;
2010-09-06;0;1025,9;12;20,1;15,7;11,7;79,9;59;6,2;1,1;
2010-09-07;0;1023,4;14,3;22,8;17,5;15;82,4;56;6,8;1,2;
2010-09-08;2,6;1023,1;14,8;21,8;18;15,8;82,2;59;8,6;2,1;
2010-09-09;,2;1024;13,3;22,4;17;11,7;80,5;54;7,7;1,8;
2010-09-10;,2;1023,6;13,2;22,8;16,6;11,3;81,8;52;10,3;2,5;
2010-09-11;0;1018,6;16,3;20;18,8;17;86;80;8,9;2,6;
2010-09-12;0;1016,1;16,7;21,4;18,7;16,6;88,5;75;3,9;,7;
2010-09-13;0;1013,1;16,5;22,4;18,7;15,3;87,7;69;6,3;1,4;
2010-09-14;0;1008,3;17,2;26,5;20,5;16,5;82,1;53;10,4;1,1;
2010-09-15;0;1016,7;11,4;22,4;17,5;12;68,4;47;8,5;2,2;
2010-09-16;0;1017,9;11,2;21,5;16,4;11,1;73,8;42;6,9;1,7;
2010-09-17;0;1014,8;14,1;26,8;19,4;15,5;72,4;51;9,7;2,2;
2010-09-18;0;1022,6;9,2;21,3;18,1;16,6;56,5;37;8,9;2,3;
2010-09-19;0;1024,2;10,5;22,2;16,4;10,4;70,8;38;9,2;2,1;
2010-09-20;1;1018,8;16;19,3;17,9;16,4;88,5;77;8,9;1,7;
2010-09-21;11,4;1015,3;17,1;19;18,2;17,4;93,4;89;10,5;1,2;
2010-09-22;14,6;1013,5;17,1;21,8;18,5;16,9;91,8;77;5,8;1,5;
2010-09-23;8,2;1013,2;17,6;26;20,5;17,2;84,4;57;7,7;1,3;
2010-09-24;11;1012,9;16,7;23,6;19,6;17,2;84,2;65;6,9;1,5;
2010-09-25;0;1015,6;14;22,3;17,7;13,9;79,7;57;6,6;1,2;
2010-09-26;1,6;1014,2;16,8;19,2;17,8;15,8;93,5;84;5,8;1,1;
2010-09-27;20,2;1011,1;17,8;20,5;19,1;17,6;91,6;85;7,4;1,8;
2010-09-28;5,4;1010;17,1;21,1;19;18,3;88,5;78;8,8;2;
2010-09-29;5,6;1008,4;17,9;25,7;20,4;17,6;86;67;7,8;1,4;
2010-09-30;0;1010,6;16,8;24,3;20,8;18,9;79,1;46;7,8;1,8;
2010-10-01;,2;1013,2;16,1;20,3;18,5;17,6;86,1;75;4,9;,8;
2010-10-02;10,8;1014,2;14,7;20,8;17,7;16,5;83;71;8;1,9;
2010-10-03;0;1022;10;19,4;16,1;14,1;69,7;39;7,6;1,2;
2010-10-04;1,8;1020;13;16,3;14,9;13,8;88,1;79;4,8;1,2;
2010-10-05;20,4;1015,6;15,8;23,6;18,5;14,4;85,1;61;7,4;2;
2010-10-06;,6;1014;16,4;24,8;19,5;15,9;83,4;62;7,4;1,9;
2010-10-07;6;1007,1;18,3;21,3;19,7;18,8;91,5;84;7,3;1,7;
2010-10-08;15;1009,3;12,2;26,1;21;16,9;59,3;37;17,2;4,7;
2010-10-09;0;1021,3;12,8;23,2;17,8;13;74,3;50;8,9;1,7;
2010-10-10;0;1023,2;11,6;22,3;18;14,2;67,2;45;8,3;1,3;
2010-10-11;0;1021,4;10,5;23,8;17,6;12;66,4;35;10,4;2,3;
2010-10-12;0;1022,1;10,2;23,4;16;10,3;71,5;36;9,7;2,4;
2010-10-13;,2;1020;11,6;22,1;16,7;12,3;74,4;46;8,2;2,5;
2010-10-14;,6;1017,2;15,6;19,3;17,1;15,3;91;76;9,7;1,2;
2010-10-15;18,2;1012,9;18;22,5;19,6;17,1;90,5;76;12,4;1,4;
2010-10-16;2,6;1012,6;18,3;27,6;21,1;17,8;84,9;63;5,7;1,9;
2010-10-17;0;1013,5;17,7;25,1;20,8;18,8;82,9;64;9,3;1,1;
2010-10-18;13,4;1014,1;14;23,3;18,9;16,2;75,3;42;8,3;1,5;
2010-10-19;0;1016,5;13,7;25,3;18,8;14,6;73,4;43;8,4;1,7;
2010-10-20;0;1015,9;14,5;24,7;19,5;16,5;73,8;48;8,8;1,7;
2010-10-21;0;1014,8;15,4;23,8;19,6;15,6;77,9;58;9;1,7;
2010-10-22;0;1013;16,5;23,6;20,4;18,3;78,5;62;5,8;1,6;
2010-10-23;0;1009,6;17,9;23,7;20,5;18,6;85,5;69;4,8;1,1;
2010-10-24;,2;1011,8;16,8;25,3;20,3;15,8;81,3;60;8,3;1,9;
2010-10-25;0;1011;16,9;24,7;21;17,4;78,4;59;8,1;1,6;
2010-10-26;6,4;1011,6;14,8;23,9;19,3;16,5;76,3;55;10,5;1,6;
2010-10-27;0;1010,8;13,5;24,3;18,8;14,8;73,7;45;10,3;1,8;
2010-10-28;0;1010,7;14,9;24,3;19,3;14,9;77,3;53;9,4;2,1;
2010-10-29;,2;1010,1;16,9;25,8;21,1;18,2;78,3;44;9,1;2;
2010-10-30;30,6;1007,3;18,9;27,3;21,9;19,1;84;59;11,7;1,9;
2010-10-31;0;1010,5;16,7;26,1;21,2;18;77,6;51;8,6;2;
2010-11-01;,2;1013,3;13;29,2;19,6;13,5;70,6;27;9,9;2,3;
2010-11-02;0;1013;13,7;26,9;19,3;14;73,4;36;8,7;2;
2010-11-03;0;1012,1;15,3;27;19,8;14,1;77,2;47;8;2,1;
2010-11-04;,2;1012,2;17,2;27,8;20,9;15;80,8;55;8,9;2,3;
2010-11-05;0;1008,9;19,2;27,2;22,4;19,9;82,9;62;8,9;1,6;
2010-11-06;15;1006,8;17,1;27,1;20,8;17,6;80,7;48;9,3;1,9;
2010-11-07;0;1011,1;16,1;26,6;21,2;16,6;74;51;8,5;2;
2010-11-08;0;1012,6;18,3;26,3;21,4;17,2;83,3;64;8,8;2,2;
2010-11-09;,4;1007,9;20,7;30,4;24,5;21,2;80,4;59;11,2;1,8;
2010-11-10;1,8;1013,7;15,5;25,8;19,8;17,8;76,7;60;6,6;1,8;
2010-11-11;0;1020;11,8;23,4;18,1;13,6;68,4;40;8,5;2,1;
2010-11-12;0;1020,6;13,1;22,7;18,8;15,7;70,3;55;7,8;1,9;
2010-11-13;0;1019,2;14,1;24,3;19,7;15,7;70,8;53;9,2;2,4;
2010-11-14;,8;1015,7;15,5;25,2;20,5;15,7;74,6;52;10,3;2,8;
2010-11-15;3,2;1014,8;17,2;23,9;20,9;17,9;79,7;69;9,5;3,1;
2010-11-16;9,8;1012,7;18,7;24,8;21,5;19,1;84,3;71;9,6;2,5;
2010-11-17;8,8;1009,7;18,2;26;21,1;18;84,3;60;9,2;1,7;
2010-11-18;11,6;1006;16,3;29,3;21,1;16,5;76,8;30;8,4;2,3;
2010-11-19;0;1007,7;17,2;27,6;21,5;16,6;78,2;52;8,4;1,7;
2010-11-20;0;1010,7;18,6;25,8;21,5;18,8;84;65;6,9;1,6;
2010-11-21;2;1009,8;20,4;27,9;23,2;20,9;85,2;67;8,2;1,4;
2010-11-22;3,2;1006,7;20,7;23,9;22,7;21,7;88,9;78;7,8;2;
2010-11-23;19,6;1007,4;18,2;26,5;22,1;18,8;79,2;63;8,7;2,1;
2010-11-24;0;1007,1;17,7;24,6;20,9;17,4;82,6;63;6,2;1,6;
2010-11-25;7,6;1007,3;19,9;26,4;22,3;19,9;86,7;71;8,4;1,6;
2010-11-26;,2;1009,3;18,8;27,5;22,7;19,1;79,7;60;8,4;1,7;
2010-11-27;0;1009,8;18,9;28,2;23,4;19,6;76,8;57;9,2;2,1;
2010-11-28;,8;1008,9;20,1;29,6;24,1;19,6;79,3;58;8,9;1,9;
2010-11-29;19,2;1006,8;21,4;26,3;23,8;21,8;86,5;78;7,6;2;
2010-11-30;19,8;1007,8;20,3;26,5;23,2;21,4;84,3;70;10,2;1,6;
2010-12-01;0;1012,4;16,8;26,5;21,5;19,3;76,5;45;6,5;1,3;
2010-12-02;19;1010,3;18,4;22,9;19,7;18;92,3;81;7,5;1,2;
2010-12-03;41,4;1006,5;20,7;29,9;24,2;18,8;81,8;60;7,6;1,8;
2010-12-04;,8;1010,6;20,1;26;21,6;20,9;91,3;72;5,7;,6;
2010-12-05;29,6;1009,7;19,8;26,9;22,2;20;86,6;73;12;1,4;
2010-12-06;4,6;1013,3;16,4;25,9;22,7;20,2;68,1;51;8,6;2,6;
2010-12-07;,2;1009,2;18,7;23,3;20,6;19,2;89,2;71;6,8;1;
2010-12-08;15;1003,3;20,2;34,6;25,2;19,7;76,4;39;9;2,4;
2010-12-09;0;1007,3;17,5;26,9;23,3;20,2;71;49;7,8;1,5;
2010-12-10;0;1010,2;18,1;25,5;22,2;19,4;77,8;65;7,6;1,9;
2010-12-11;,2;1008,4;20,9;26,5;23,8;22,5;83,7;74;7,8;2,2;
2010-12-12;2,4;1002,4;21,6;30,4;24,5;21,5;84,3;63;12,3;1,4;
2010-12-13;2,8;1002,3;17,6;24,1;19,8;19,2;87,1;73;6,9;1,3;
2010-12-14;22,4;1009,9;13,3;18,6;16,1;13,8;83,4;65;6,9;1,4;
2010-12-15;2;1014,3;14,2;25,6;19,2;13,8;75,5;43;10,6;2,6;
2010-12-16;,6;1014,9;18,2;22,9;20,2;18,3;88,3;67;6;1,4;
2010-12-17;10,4;1008,8;20,5;27,4;23;19,4;86,5;69;6,9;1,6;
2010-12-18;0;1006,4;21,3;34,7;26,3;21,3;75,9;46;8,8;2;
2010-12-19;0;1009,8;21,3;29,4;25,3;21,1;79,4;60;8,2;1,8;
2010-12-20;0;1011,4;22,3;32;26,4;23;79,2;51;9,3;1,8;
2010-12-21;,2;1011,9;22;29,5;24,7;22,7;85,7;65;11,8;2;
2010-12-22;43,2;1011,5;21;29,1;23,8;20,9;85,1;62;7,2;1,4;
2010-12-23;20;1009,5;21,3;28,1;24,1;21,6;85;66;7,9;1,5;
2010-12-24;26,2;1009,2;21,8;28,3;24,9;22,1;83,2;69;9,4;2,8;
2010-12-25;0;1007,1;22,4;30,2;25,3;23;84,6;65;7,3;1,5;
2010-12-26;9,4;1008;21;29,4;24,8;22,1;80,7;52;8;1,8;
2010-12-27;0;1009,4;18,2;28,8;23,1;18,1;76,1;44;8,9;2,1;
2010-12-28;0;1008,4;18,1;28,2;23,1;18,4;74,7;49;8,9;2;
2010-12-29;0;1008,6;18,5;27,1;22,4;18,3;79,6;63;9,5;1,9;
2010-12-30;,2;1009,2;18,2;29,6;23,5;18,2;73,6;46;10;2,4;
2010-12-31;2,8;1009,8;19,5;28;23,5;20,5;79,4;56;10,8;2,2;
2011-01-01;,2;1009,3;19,1;27,8;22,8;19,1;81;57;7;1,8;
2011-01-02;,8;1007,4;19,9;27;22,9;20,6;83,5;63;8,1;1,9;
2011-01-03;1,6;1005,5;20,4;27,2;23;20,1;85,8;66;5,2;1,5;
2011-01-04;21;1005,2;21;29,2;24,5;20,2;81,9;56;6,7;1,9;
2011-01-05;0;1007,3;22,1;32,1;25,5;22,7;82,2;53;10,5;2,1;
2011-01-06;11,6;1008,4;21,8;32,1;24,6;21,7;85,8;58;9;2,1;
2011-01-07;30,4;1009,9;21,8;31;25,5;21,6;81,2;55;7,9;2;
2011-01-08;0;1010,2;23,5;30,4;26,6;23,9;83,7;66;9,1;1,9;
2011-01-09;0;1007,2;23,4;33,6;27,1;23,8;81,5;50;8,2;1,6;
2011-01-10;1;1005,7;22,6;30,7;25,6;23,9;84;59;14;1,5;
2011-01-11;22,6;1005;20,4;27,6;23,5;20,7;83,3;62;7,6;1,8;
2011-01-12;2;1002,7;21,8;27,8;24,2;21,9;87;72;6,1;1,2;
2011-01-13;0;1003;21,6;30,4;25,6;21,3;79,5;59;8,5;1,7;
2011-01-14;0;1006,7;22;31,4;25,7;21,4;80,9;55;8,6;1,5;
2011-01-15;6,6;1009;21;30;24,9;21;79,6;58;9,3;2,2;
2011-01-16;30,8;1007,8;22,1;30;25,6;21,9;81,6;58;8,4;2,3;
2011-01-17;1,6;1007,8;22,1;33,4;26,3;22,7;79,1;52;6,4;1,9;
2011-01-18;3,2;1008,6;22,2;29,2;24,5;22,1;87,1;68;6,2;1,6;
2011-01-19;89,2;1005;22,2;31;25,3;22,6;84,1;55;8,8;1,8;
2011-01-20;3,8;1006,2;22,5;30;25,6;23;83,9;63;9,6;1,7;
2011-01-21;1,2;1009,5;22,2;27,9;24,7;23,2;86,5;70;8,5;2,1;
2011-01-22;63,2;1011,1;23,1;30,1;25,6;22,7;86,6;68;9,3;2,1;
2011-01-23;3,6;1012,1;23,7;30,9;26,3;24,8;85,9;68;8,3;1,9;
2011-01-24;11,4;1012,3;22,5;31;26;22,1;82,3;61;7,8;2;
2011-01-25;,2;1011,3;23,8;31,3;27,2;24,5;82,4;62;8,7;1,9;
2011-01-26;1;1010,7;23,1;30,3;26,6;23,9;82,1;62;7,6;1,5;
2011-01-27;0;1008,1;23,8;34,2;27,5;23,8;81,4;54;6,9;1,2;
2011-01-28;0;1008,8;23,2;32,8;27,6;23,3;78,1;57;5,9;1,8;
2011-01-29;0;1011,7;22,5;32,1;26;23,3;82;57;7,6;1,7;
2011-01-30;,8;1012,8;22,1;31,2;25,5;23,6;82,7;58;11,2;1,9;
2011-01-31;2,8;1011,2;21,7;30,6;25,2;21,8;81,9;57;6,7;1,9;
2011-02-01;0;1009,2;22,8;33,7;26;23,3;83,7;51;9,1;1,3;
2011-02-02;1,2;1012,7;20,3;29,3;25;21,6;76,9;54;8,4;2;
2011-02-03;0;1012,1;20,6;28,5;25,1;22;76,5;67;6,8;2,1;
2011-02-04;,4;1009,1;22,5;31,4;25,7;22,6;83,2;60;9,2;1,6;
2011-02-05;0;1007,6;23;33,8;26,4;24,5;83,5;49;17,1;1,8;
2011-02-06;34,4;1009,4;22,5;28;24,7;22;88,1;73;7,2;,8;
2011-02-07;10,6;1011,5;22,4;29,4;25,3;22,9;84,2;64;8,5;1,7;
2011-02-08;1,8;1010,8;22,8;30,9;25,8;22,7;84,2;63;9,5;1,6;
2011-02-09;1;1006,7;23;32,6;26,5;23,2;82;55;11,6;1,6;
2011-02-10;3;1005,4;22,9;32,7;25,8;23,8;85,3;53;7,1;1,1;
2011-02-11;34,2;1009,6;22,2;30,3;25,3;22,2;83,8;62;7,4;1,2;
2011-02-12;29;1010,1;22,5;30,6;24,9;21,6;86,5;68;7,5;1,2;
2011-02-13;3,4;1008,2;22,3;33,2;25,6;22;83,9;52;12,9;1,9;
2011-02-14;33;1012,4;20,5;24;22,6;22,9;88,3;65;6;1;
2011-02-15;22,2;1013,8;19,1;25,3;21,6;19,5;85,8;71;10,1;2,1;
2011-02-16;4,6;1014,7;20;27,3;23;20,1;83,7;65;7,1;1,6;
2011-02-17;8;1014,9;20,7;28,2;24;20,7;82,9;62;7,4;1,3;
2011-02-18;0;1013,7;21,8;29,5;25,1;21,7;82,5;62;8,1;1,9;
2011-02-19;0;1013;22,5;29,8;25,5;22,4;84,5;66;7,9;1,6;
2011-02-20;0;1012,8;22,4;30,4;25,6;22,4;83,4;63;7,8;1,6;
2011-02-21;0;1013,1;22,5;31,8;26,1;22,9;81,5;56;5,9;1;
2011-02-22;9,2;1010,6;21,9;30,8;24,6;22,3;85,8;58;11,8;1,7;
2011-02-23;39,8;1008,7;21,4;27,5;24,1;21,9;85,6;67;6,7;1,3;
2011-02-24;3,8;1008,5;22,1;28,8;24,9;22,3;85,2;69;7,4;1,7;
2011-02-25;5;1010,7;22,8;28,1;25,3;23,5;86;75;8,7;2,3;
2011-02-26;8,6;1010,5;22,4;28,7;25,4;23,1;84,1;69;6,5;1,5;
2011-02-27;2;1010,6;21,2;27,8;24,4;23;83;65;6,3;1,4;
2011-02-28;,2;1012,1;17,8;26,8;23,4;20,7;71,9;55;8;2;
2011-03-01;,2;1013,6;16,8;27,4;22,3;17,7;72,3;52;7,5;2,4;
2011-03-02;1,2;1015,3;18,2;26,1;22,2;18,5;79,5;58;8,1;1,7;
2011-03-03;6,4;1015,9;18,8;26,9;22,2;19,3;81,7;58;8,5;2;
2011-03-04;,4;1015,6;18,1;28,3;22,5;18,4;78;51;8,5;2,5;
2011-03-05;4,4;1015,6;18,7;28;22,8;19,1;79,2;49;10,7;2,4;
2011-03-06;9,4;1014,2;19,1;27,5;22,8;19,4;81;60;9,2;2,4;
2011-03-07;6;1014;18,5;28,1;23,4;19,4;76,5;45;7,2;1,7;
2011-03-08;,4;1014;19,9;27,7;22,4;19,5;86,5;65;7;1,7;
2011-03-09;6,8;1012,7;20,6;29,6;24,2;20,5;81,9;53;6,7;1,8;
2011-03-10;16;1012,3;21,9;28,3;24,1;22,3;87,5;70;9,6;2,5;
2011-03-11;25,8;1012,8;21,8;27,1;24,8;22,3;83,5;73;10,6;2,7;
2011-03-12;3,2;1010,3;22,6;26,4;24,1;23,1;91,2;83;7,2;1,7;
2011-03-13;82,4;1006,8;22,1;25,4;23,5;22,1;92,4;84;6;1,2;
2011-03-14;14,8;1006,6;19,5;28,1;24,2;21,9;76,9;55;7,8;2,3;
2011-03-15;0;1013,3;15,2;27;22,2;19,2;65;47;8,3;1,5;
2011-03-16;0;1016,4;16,8;27,3;21,3;16,4;76,7;51;6,6;1,8;
2011-03-17;0;1013,9;18,2;27,7;22,8;19,1;77,3;50;7,6;1,7;
2011-03-18;,2;1011,2;20,3;31,1;24,6;21,2;77,8;53;7,8;1,5;
2011-03-19;1,4;1015,5;17,4;26,4;23;21,6;72,9;49;9,9;1,6;
2011-03-20;0;1018,9;15,5;25,8;20,3;16,5;75,3;47;6,4;1,6;
2011-03-21;0;1017,8;17,8;26;21,7;17,3;79,3;59;6,4;1,4;
2011-03-22;,6;1016;19,7;27,4;23,5;20,2;80,2;57;8,3;2;
2011-03-23;9,2;1015;21,1;27,9;23,5;20,9;86,8;70;8,4;2;
2011-03-24;0;1013,1;21,7;31,1;25;21,6;82,8;58;6,3;1,1;
2011-03-25;0;1012,8;21,3;27,4;24,4;22,3;83,7;64;5,5;,9;
2011-03-26;0;1010,3;22;28,2;24,3;22,5;87,3;71;6,7;1,2;
2011-03-27;32,8;1010,6;20,1;29,7;23,7;20,2;81,4;54;13,7;1,8;
2011-03-28;2,2;1012,7;20,8;28,7;23,3;21,8;86,5;64;10,7;1,1;
2011-03-29;6;1015,7;18,6;23,6;null;19,4;87,3;71;9,4;1,8;
2011-03-30;null;1017,8;17,4;24,3;null;16,8;88,9;68;6,1;1,6;
2011-03-31;null;1015,5;19,1;24,8;21,6;19,2;86,2;71;5,4;1,5;
2011-04-01;,2;1013,7;20;23,9;21,8;19,8;90;80;4,1;1;
2011-04-02;1;1010,9;20,4;27,9;22,8;20,9;87;64;5,9;1,5;
2011-04-03;,4;1011,5;17,7;27,6;21,2;17,9;82,2;50;6,1;1,5;
2011-04-04;0;1009,3;18,2;28,6;20,8;17,3;86,3;57;14,8;1,5;
2011-04-05;16,6;1010,1;16,7;29,7;21,5;17,6;77,5;35;9,9;2;
2011-04-06;0;1014;14,8;27,8;19,9;15;75,8;35;7,4;1,8;
2011-04-07;0;1016,9;14,1;26,5;18,9;13,8;77;40;7,5;1,8;
2011-04-08;0;1015,7;17,3;29,3;21,5;16,6;78,5;49;6,6;1,8;
2011-04-09;0;1016,6;16;26,1;20,4;18;77,3;48;6,5;1,5;
2011-04-10;4,4;1016,4;16,3;25,4;19,7;16,3;82;56;6,8;1,7;
2011-04-11;,2;1013,2;16,9;27;20,3;16,2;82,7;52;7;1,9;
2011-04-12;0;1010,2;18,9;27,8;21,8;17,5;84,6;58;6,1;1,5;
2011-04-13;0;1009,2;18,7;28,7;22,8;18,7;79,5;50;8,3;2;
2011-04-14;0;1011,7;19,6;32,7;23,8;18,5;79,8;46;8,4;2,2;
2011-04-15;20,4;1015;18,6;28,1;21,8;18,5;83,3;50;11,4;1,3;
2011-04-16;0;1014,3;19,5;30;22,5;18,4;84,1;56;6,5;1,6;
