data,bairro,lat,lon,precip,temp,umid,press,desastre
2025-03-08,Centro,-26.278708,-48.856642,8.2,25.9,85.9,1013.0,0
2025-03-09,Centro,-26.285452,-48.854519,8.6,25.7,80.8,1013.7,0
2025-03-10,Centro,-26.286264,-48.855352,4.2,25.2,79.5,1014.6,0
2025-03-11,Centro,-26.278752,-48.856351,11.5,23.3,86.5,1008.7,0
2025-03-12,Centro,-26.278131,-48.852626,7.6,30.8,78.3,1006.8,0
2025-03-13,Centro,-26.282239,-48.857105,0.0,26.1,83.4,1009.0,0
2025-03-14,Centro,-26.283809,-48.857004,51.8,22.1,96.7,1001.3,1
2025-03-15,Centro,-26.284948,-48.857978,10.5,26.2,88.0,1011.7,0
2025-03-16,Centro,-26.282118,-48.851178,9.6,24.9,85.1,1013.7,0
2025-03-17,Centro,-26.284863,-48.853065,19.4,25.5,78.1,1012.7,0
2025-03-18,Centro,-26.277134,-48.850875,3.9,25.2,82.9,1013.3,0
2025-03-19,Centro,-26.284202,-48.856924,5.8,23.1,83.1,1011.0,0
2025-03-20,Centro,-26.276583,-48.854319,7.5,24.4,79.5,1015.1,0
2025-03-21,Centro,-26.283856,-48.852103,9.7,24.9,79.9,1010.9,0
2025-03-22,Centro,-26.285739,-48.85275,9.6,25.4,73.1,1012.7,0
2025-03-23,Centro,-26.278172,-48.855371,13.6,26.7,88.4,1010.9,0
2025-03-24,Centro,-26.283032,-48.850564,12.6,27.0,81.5,1012.0,0
2025-03-25,Centro,-26.277878,-48.851633,48.5,23.8,96.0,1005.7,1
2025-03-26,Centro,-26.285735,-48.852197,4.6,22.2,77.6,1009.2,0
2025-03-27,Centro,-26.284228,-48.849779,11.4,25.0,78.5,1013.1,0
2025-03-28,Centro,-26.28568,-48.851956,61.6,27.1,94.8,1007.3,1
2025-03-29,Centro,-26.282369,-48.852478,0.0,25.8,79.7,1011.4,0
2025-03-30,Centro,-26.279818,-48.857436,70.8,22.8,99.1,1006.5,1
2025-03-31,Centro,-26.285266,-48.852732,0.4,23.8,80.9,1015.3,0
2025-04-01,Centro,-26.284117,-48.852269,11.5,23.4,82.5,1009.3,0
2025-04-02,Centro,-26.285735,-48.850526,10.2,24.5,84.2,1011.0,0
2025-04-03,Centro,-26.286078,-48.857839,4.1,20.0,89.8,1010.1,0
2025-04-04,Centro,-26.281857,-48.857077,13.0,25.7,81.2,1013.6,0
2025-04-05,Centro,-26.283698,-48.853802,7.3,24.6,80.3,1012.8,0
2025-04-06,Centro,-26.282759,-48.854834,19.1,25.2,88.6,1010.5,0
2025-04-07,Centro,-26.277553,-48.849366,11.4,27.3,85.1,1009.9,0
2025-04-08,Centro,-26.284388,-48.857484,85.6,26.1,95.1,1005.0,1
2025-04-09,Centro,-26.278946,-48.856337,6.4,26.4,80.1,1012.2,0
2025-03-01,Itinga,-26.30758,-48.85026,9.8,22.8,81.7,1009.9,0
2025-03-02,Itinga,-26.307057,-48.846388,8.9,26.7,76.8,1011.7,0
2025-03-03,Itinga,-26.298688,-48.850271,15.8,22.1,77.4,1011.9,0
2025-03-04,Itinga,-26.298559,-48.84949,6.0,22.6,73.9,1009.6,0
2025-03-05,Itinga,-26.30583,-48.852985,10.6,24.0,74.7,1014.5,0
2025-03-06,Itinga,-26.302008,-48.846342,13.0,24.3,81.3,1007.6,0
2025-03-07,Itinga,-26.301252,-48.849622,0.4,26.0,90.1,1012.1,0
2025-03-08,Itinga,-26.307369,-48.850266,44.2,19.6,97.3,1000.9,1
2025-03-09,Itinga,-26.302089,-48.844534,10.9,23.7,79.9,1011.0,0
2025-03-10,Itinga,-26.304635,-48.846342,70.3,23.8,97.0,1003.0,1
2025-03-11,Itinga,-26.302626,-48.849412,68.2,23.7,96.1,1003.6,1
2025-03-12,Itinga,-26.302147,-48.850925,5.6,26.7,75.4,1012.6,0
2025-03-13,Itinga,-26.305591,-48.846415,10.7,24.4,81.3,1011.9,0
2025-03-14,Itinga,-26.303613,-48.848692,7.2,25.1,88.1,1010.7,0
2025-03-15,Itinga,-26.302165,-48.844403,44.9,23.3,94.2,1006.5,1
2025-03-16,Itinga,-26.299663,-48.845418,4.0,25.5,82.9,1012.3,0
2025-03-17,Itinga,-26.302043,-48.847292,9.4,27.7,80.9,1014.7,0
2025-03-18,Itinga,-26.304097,-48.852377,66.6,27.0,92.0,1004.7,1
2025-03-19,Itinga,-26.303042,-48.845283,3.6,27.1,78.5,1009.1,0
2025-03-20,Itinga,-26.300256,-48.851244,5.3,29.4,85.8,1014.4,0
2025-03-21,Itinga,-26.300025,-48.844377,17.2,25.3,81.9,1011.8,0
2025-03-22,Itinga,-26.300893,-48.846797,12.8,26.1,87.6,1013.2,0
2025-03-23,Itinga,-26.29789,-48.84483,4.6,25.0,76.6,1011.0,0
2025-03-24,Itinga,-26.297822,-48.851716,6.3,25.4,82.3,1013.8,0
2025-03-25,Itinga,-26.303452,-48.845,7.9,23.9,82.0,1011.0,0
2025-03-26,Itinga,-26.298389,-48.848553,4.2,25.3,92.6,1013.0,0
2025-03-27,Itinga,-26.306374,-48.847771,6.7,28.2,79.6,1011.3,0
2025-03-28,Itinga,-26.298664,-48.847003,64.5,24.9,95.7,1005.5,1
2025-03-29,Itinga,-26.302923,-48.84935,7.3,28.6,85.8,1013.1,0
2025-03-30,Itinga,-26.305735,-48.844519,9.5,26.8,83.1,1008.8,0
2025-03-31,Itinga,-26.297735,-48.846632,3.3,25.0,77.6,1009.6,0
2025-04-01,Itinga,-26.298017,-48.846834,3.2,23.7,83.8,1006.8,0
2025-04-02,Itinga,-26.302875,-48.85233,5.0,27.0,78.0,1008.5,0
2025-04-03,Itinga,-26.307055,-48.845354,5.7,24.3,76.0,1010.9,0
2025-04-04,Itinga,-26.298279,-48.846466,7.9,22.6,81.5,1015.0,0
2025-04-05,Itinga,-26.307092,-48.843578,29.3,22.3,93.5,1007.0,1
2025-04-06,Itinga,-26.304129,-48.844951,5.0,27.9,83.2,1009.8,0
2025-04-07,Itinga,-26.304436,-48.848165,13.3,27.4,75.0,1009.9,0
2025-04-08,Itinga,-26.303927,-48.84911,4.7,22.1,84.6,1012.9,0
2025-04-09,Itinga,-26.304234,-48.843751,9.5,28.1,88.8,1014.4,0
2025-03-01,Aventureiro,-26.28885,-48.883057,76.5,23.0,94.7,1010.2,1
2025-03-02,Aventureiro,-26.287545,-48.885382,5.0,23.6,79.7,1009.2,0
2025-03-03,Aventureiro,-26.282314,-48.885194,15.1,25.6,87.7,1010.2,0
2025-03-04,Aventureiro,-26.285911,-48.888287,1.0,27.2,88.1,1012.0,0
2025-03-05,Aventureiro,-26.281164,-48.884186,9.4,25.3,86.8,1011.9,0
2025-03-06,Aventureiro,-26.280356,-48.883258,75.5,25.4,95.4,1007.0,1
2025-03-07,Aventureiro,-26.289078,-48.888667,5.0,25.7,85.7,1011.8,0
2025-03-08,Aventureiro,-26.28746,-48.887404,41.3,25.2,92.1,1002.6,1
2025-03-09,Aventureiro,-26.284902,-48.881566,8.6,27.9,79.5,1012.1,0
2025-03-10,Aventureiro,-26.284114,-48.883179,6.5,26.7,84.7,1010.5,0
2025-03-11,Aventureiro,-26.281821,-48.882459,3.4,24.4,81.8,1009.7,0
2025-03-12,Aventureiro,-26.28085,-48.883901,13.7,26.6,77.2,1010.3,0
2025-03-13,Aventureiro,-26.286203,-48.888008,9.0,26.4,88.4,1012.0,0
2025-03-14,Aventureiro,-26.286578,-48.884913,6.4,22.3,81.6,1009.3,0
2025-03-15,Aventureiro,-26.288779,-48.887695,15.3,29.5,85.9,1013.0,0
2025-03-16,Aventureiro,-26.285477,-48.885366,7.6,25.4,77.3,1015.1,0
2025-03-17,Aventureiro,-26.287046,-48.88963,6.2,24.0,80.9,1014.2,0
2025-03-18,Aventureiro,-26.284517,-48.884025,7.8,25.9,90.6,1015.4,0
2025-03-19,Aventureiro,-26.287915,-48.881249,13.2,25.0,88.2,1010.5,0
2025-03-20,Aventureiro,-26.288544,-48.886243,14.0,24.1,80.5,1012.0,0
2025-03-21,Aventureiro,-26.287964,-48.886519,2.3,26.2,86.2,1016.1,0
2025-03-22,Aventureiro,-26.287589,-48.887662,7.5,23.2,85.4,1011.4,0
2025-03-23,Aventureiro,-26.289836,-48.885314,6.0,25.1,80.3,1011.4,0
2025-03-24,Aventureiro,-26.282112,-48.882621,9.3,22.7,81.2,1012.8,0
2025-03-25,Aventureiro,-26.285494,-48.883794,0.0,25.2,76.7,1012.8,0
2025-03-26,Aventureiro,-26.287442,-48.882449,11.6,28.4,75.7,1009.6,0
2025-03-27,Aventureiro,-26.287638,-48.885141,9.6,26.6,88.9,1013.7,0
2025-03-28,Aventureiro,-26.286536,-48.885497,3.4,28.6,84.2,1012.3,0
2025-03-29,Aventureiro,-26.286065,-48.882055,12.2,24.7,87.2,1014.0,0
2025-03-30,Aventureiro,-26.288258,-48.883895,14.5,22.1,83.8,1013.1,0
2025-03-31,Aventureiro,-26.289813,-48.883511,6.6,25.7,90.4,1009.3,0
2025-04-01,Aventureiro,-26.285278,-48.887104,12.0,27.7,90.8,1010.8,0
2025-04-02,Aventureiro,-26.281604,-48.889727,10.0,28.3,75.6,1010.1,0
2025-04-03,Aventureiro,-26.280173,-48.883579,4.0,23.6,88.2,1013.5,0
2025-04-04,Aventureiro,-26.283164,-48.883422,5.8,26.5,80.7,1016.8,0
2025-04-05,Aventureiro,-26.288826,-48.886375,14.9,26.8,85.4,1012.3,0
2025-04-06,Aventureiro,-26.283968,-48.886098,6.1,29.3,75.6,1015.0,0
2025-04-07,Aventureiro,-26.287827,-48.889445,16.8,27.4,76.0,1007.5,0
2025-04-08,Aventureiro,-26.287808,-48.885881,6.1,24.2,80.9,1013.6,0
2025-04-09,Aventureiro,-26.282891,-48.889065,6.7,23.1,81.0,1011.2,0
2025-03-01,Costa e Silva,-26.315725,-48.818168,12.0,23.7,76.8,1012.7,0
2025-03-02,Costa e Silva,-26.315642,-48.821286,9.9,28.1,81.5,1006.8,0
2025-03-03,Costa e Silva,-26.310306,-48.817522,12.4,25.0,79.5,1013.9,0
2025-03-04,Costa e Silva,-26.30996,-48.819305,0.0,21.7,84.3,1014.2,0
2025-03-05,Costa e Silva,-26.314055,-48.812939,6.9,25.2,89.4,1010.6,0
2025-03-06,Costa e Silva,-26.31571,-48.813384,15.4,25.7,85.1,1015.0,0
2025-03-07,Costa e Silva,-26.314531,-48.812554,0.0,28.1,78.8,1008.3,0
2025-03-08,Costa e Silva,-26.311317,-48.822102,4.9,26.3,82.8,1011.5,0
2025-03-09,Costa e Silva,-26.308731,-48.820401,6.8,23.8,73.4,1011.9,0
2025-03-10,Costa e Silva,-26.308732,-48.814517,8.9,26.2,80.0,1014.6,0
2025-03-11,Costa e Silva,-26.307133,-48.815881,15.6,24.5,79.6,1013.8,0
2025-03-12,Costa e Silva,-26.308572,-48.812321,10.6,21.6,84.1,1010.6,0
2025-03-13,Costa e Silva,-26.310295,-48.812351,50.6,23.1,92.5,1005.2,1
2025-03-14,Costa e Silva,-26.308633,-48.817197,3.7,26.3,79.5,1010.0,0
2025-03-15,Costa e Silva,-26.309482,-48.82075,6.0,25.1,77.4,1013.8,0
2025-03-16,Costa e Silva,-26.307546,-48.81692,9.8,26.7,74.1,1011.4,0
2025-03-17,Costa e Silva,-26.314809,-48.81253,14.4,24.9,84.4,1010.4,0
2025-03-18,Costa e Silva,-26.308292,-48.817004,4.4,21.7,86.1,1009.6,0
2025-03-19,Costa e Silva,-26.307456,-48.815003,72.6,27.1,92.8,1005.4,1
2025-03-20,Costa e Silva,-26.30997,-48.813992,7.0,29.0,78.0,1008.0,0
2025-03-21,Costa e Silva,-26.314473,-48.819591,6.3,25.6,82.2,1013.5,0
2025-03-22,Costa e Silva,-26.310983,-48.817898,5.3,28.0,91.1,1009.9,0
2025-03-23,Costa e Silva,-26.310831,-48.817067,7.6,23.3,84.0,1011.9,0
2025-03-24,Costa e Silva,-26.307353,-48.813756,9.4,23.4,74.2,1012.1,0
2025-03-25,Costa e Silva,-26.312716,-48.817781,9.5,23.4,81.4,1010.4,0
2025-03-26,Costa e Silva,-26.311878,-48.815413,7.1,25.6,88.0,1012.1,0
2025-03-27,Costa e Silva,-26.312367,-48.815029,37.1,24.7,99.5,1003.8,1
2025-03-28,Costa e Silva,-26.312434,-48.821166,9.6,26.5,83.8,1011.2,0
2025-03-29,Costa e Silva,-26.310525,-48.817508,8.0,28.6,85.0,1008.7,0
2025-03-30,Costa e Silva,-26.309047,-48.82148,18.6,26.0,89.9,1008.3,0
2025-03-31,Costa e Silva,-26.31368,-48.815745,11.8,24.9,78.7,1013.2,0
2025-04-01,Costa e Silva,-26.309032,-48.813236,2.8,25.9,85.1,1013.0,0
2025-04-02,Costa e Silva,-26.306764,-48.818154,11.7,26.7,80.2,1010.3,0
2025-04-03,Costa e Silva,-26.310515,-48.82188,2.8,24.3,79.8,1014.2,0
2025-04-04,Costa e Silva,-26.314345,-48.814355,5.1,28.6,94.3,1015.2,0
2025-04-05,Costa e Silva,-26.308023,-48.820086,3.7,23.8,80.1,1011.2,0
2025-04-06,Costa e Silva,-26.313118,-48.821641,3.8,22.6,80.5,1012.5,0
2025-04-07,Costa e Silva,-26.306449,-48.8188,3.6,21.6,86.1,1013.4,0
2025-04-08,Costa e Silva,-26.308041,-48.813436,13.7,26.3,85.0,1015.1,0
2025-04-09,Costa e Silva,-26.311796,-48.821862,1.9,26.0,80.5,1012.8,0
